abscond	depart secretly and hide
illusory	misleading, deceptive; lacking in or not based on reality

indifferent	showing no care or concern in attitude or action

insipid	lacking interest or significance

inured	made tough by habitual exposure

miserly	stingy; mean

nonplused	filled with bewilderment

penchant	a strong liking

penury	a state of extreme poverty or destitution

plethora	overabundance; excess

preempt	to supersede; appropiate for oneself

presumption	an assumption that is taken for granted

prodigal	recklessly wasteful

prone	having a tendency (to)

propensity	a natural inclination

qualm	uneasiness about the fitness of an action

reconciliation	the act of agreement after a quarrel, the resolution of a dispute

repudiate	reject as untrue, unfounded, or unjust

restitution	the act of restoring something to its original state

savor	derive or receive pleasure from

serenity	the absence of mental stress or anxiety

solvent	capable of meeting financial obligations

stint	supply sparingly and with restricted quantities

tranquil	free from disturbance

trivial	(informal terms) small and of little importance

audacious	disposed to venture or take risks

authoritarian	likened to a dictator in severity

beneficent	doing or producing good

burnish	to polish

connoisseur	an expert able to appreciate a field

consternation	dismay, confusion

cultured	marked by refinement in taste and manners

cunning	marked by skill in deception

deference	a disposition or tendency to yield to the will of others

facetious	cleverly amusing in tone

fidelity	the quality of being faithful

implacable	impossible to placate

ingenuity	the power of creative imagination

intemperance	consumption of alcoholic drinks

intrepid	invulnerable to fear or intimidation

membrane	a thin pliable sheet of material

meticulous	marked by extreme care in treatment of details

plasticity	the property of being physically malleable

porous	full of pores or vessels or holes

pragmatic	concerned with practical matters

presumptuous	excessively forward

pristine	immaculately clean and unused

prudent	wise, careful, cautious

slight	pay no attention to, disrespect

somber	grave or even gloomy in character

unfettered	not bound by shackles and chains

warranted	justified; authorized

abash	cause to be embarrassed

abate	become less in amount or intensity

abject	most unfortunate or miserable

abrasive	sharply disagreeable

abstain	to choose not to do something

abysmal	very great

adherent	someone who believes and helps to spread the doctrine of another

adulterate	corrupt, debase, or make impure by adding a foreign or inferior substance

aesthetic	concerning or characterized by an appreciation of beauty or good taste

affable	courteous and pleasant, sociable, easy to speak to

affectation	unnatural or artificial behavior, usually intended to impress

aghast	horrified

alchemy	a pseudoscientific forerunner of chemistry in medieval times

allege	to assert without proof or confirmation

allusion	passing reference or indirect mention

aggregate	gather in a mass, sum, or whole

ambience	the atmosphere of an environment

ameliorate	to make better

amenable	disposed or willing to comply

amorphous	having no definite form or distinct shape

amortize	to diminish by installment payments

ancillary	subordinate or supplementary

animosity	a feeling of ill will arousing active hostility

antecedent	a preceding occurrence or cause or event

antithesis	exact opposite

amiable	diffusing warmth and friendliness

arcane	requiring secret or mysterious knowledge

archetype	an original model on which something is patterned

arrest	cause to stop

assimilate	become similar to one's environment

vigilant	carefully observant or attentive

vilify	to malign, to defame, to utter abusive statements against

voracious	excessively greedy and grasping

waffle	pause or hold back in uncertainty or unwillingness

waft	be driven or carried along, as by the air

wane	decrease in phase

zealous	marked by active interest and enthusiasm

satire	witty language used to convey insults or scorn

sedative	tending to soothe or tranquilize

shard	a fragment

singular	unusual or striking

sordid	unethical or dishonest

sparing	avoiding waste

sparse	meager, scant; scattered

spendthrift	someone who spends money prodigally

squalid	foul and run-down and repulsive

static	not active or moving

subliminal	below the threshold of conscious perception

supplant	take the place or move into the position of

sundry	various; miscellaneous

surreptitious	conducted with or marked by hidden aims or methods

tenuous	having little substance or significance

terse	brief and to the point

unremitting	uninterrupted in time and indefinitely long continuing

tender	offer or present for acceptance

placebo	something which has a positive mental effect, but no physical effect

precarious	not secure

refute	prove to be false or incorrect

raucous	unpleasantly loud and harsh

queue	form a queue, form a line, stand in line

query	pose a question

partisan	adhering or confined to a particular sect or denomination or party

pedagogy	the activities of educating or instructing or teaching

novel	new; original

peripheral	on or near an edge or constituting an outer boundary

paradox	a self-contradiction

personable	pleasing in appearance or personality, attractive

inherent	existing as an essential constituent or characteristic

intimate	imply as a possibility

insular	narrowly restricted in outlook or scope

inept	generally incompetent and ineffectual

inert	slow and apathetic

contentious	involving or likely to cause controversy

contiguous	very close or connected in space or time

copious	large in number or quantity (especially of discourse)

epitome	a standard or typical example

engender	to cause, to produce, to create

empirical	derived from experiment and observation rather than theory

espouse	take up the cause, ideology, practice, method, of someone and use it as one's own

estimable	deserving of respect or high regard

fallacy	a misconception resulting from incorrect reasoning

gratitude	a feeling of thankfulness and appreciation

cardinal	serving as an essential component

din	a loud harsh or strident noise

belabor	to work on excessively; to thrash soundly

bellicose	having or showing a ready disposition to fight

augment	enlarge or increase

austere	of a stern or strict bearing or demeanor

imminent	about to happen

avow	to declare or affirm solemnly and formally as true

hegemony	domination over others

hyperbole	extravagant exaggeration

boisterous	violently agitated and turbulent

color	modify or bias

chauvinist	a person with a prejudiced belief in the superiority of his or her own kind

cognizant	aware; having knowledge of something

condolence	an expression of sympathy with another's grief

misconstrue	to interpret wrongly, mistake the meaning of

conciliatory	appeasing; soothing; showing willingness to reconcile

dilapidated	in deplorable condition

discrepancy	a difference between conflicting facts or claims or opinions

disparage	express a negative opinion of

disparate	fundamentally different or distinct in quality or kind

detraction	the act of discrediting or detracting from someone's reputation (especially by slander)

divulge	make known to the public information that was previously known only to a few people or that was meant to be kept a secret

manifest	reveal its presence or make an appearance

resolute	characterized by quickness and firmness

respite	a pause from doing something (as work)

resurrect	restore from a depressed, inactive, or unused state

reticent	temperamentally disinclined to talk, reluctant to draw attention to yourself

reverent	feeling or showing profound respect or veneration

rubric	category name

rue	sadness associated with some wrong done or some disappointment

salient	prominent; of notable significance

salutary	tending to promote physical well-being

sap	deplete

tautology	useless repetition

tenacity	persistent determination

torque	a twisting force

travesty	a comedy characterized by broad satire and improbable situations

trepidation	a feeling of alarm or dread

vacillate	be undecided about something

veritable	actual, true, real

precursor	an indication of the approach of something or someone

petulant	easily irritated or annoyed

peruse	examine or consider with attention and in detail

paradigm	a standard or typical example, the generally accepted perspective of a particular discipline at a given time

provincial	lacking sophistication, narrow-minded

profuse	produced or growing in extreme abundance

qualify	make more specific

credulous	gullible

cursory	hasty and without attention to detail

daunt	to overcome with fear, intimidate; to dishearten, discourage

debacle	A complete failure; a total collapse

culpable	deserving blame or censure as being wrong or evil or injurious

curmudgeon	a crusty irascible cantankerous old person full of stubborn ideas

garner	acquire or deserve by one's efforts or actions

astute	marked by practical hardheaded intelligence

beleaguer	annoy persistently

benign	pleasant and beneficial in nature or influence

bereave	to make desolate with loneliness and grief.

broach	bring up a topic for discussion

coalesce	fuse or cause to grow together

complaisance	a disposition or tendency to yield to the will of others

contrite	feeling regret for a fault or offence

covet	wish, long, or crave for (something, especially the property of another person)

damp	lessen in force or effect

dearth	an insufficient quantity or number

debased	ruined in character or quality

debauchery	corruption; self-indulgence

deleterious	harmful, injurious

dissolution	separation into component parts, the termination of a relationship

dynamo	generator for producing electricity; energetic person

elucidate	make free from confusion or ambiguity

episodic	occurring or appearing at usually irregular intervals

opaque	not clearly understood or expressed

malleable	easily influenced

obtuse	slow to learn or understand

exonerate	pronounce not guilty of criminal charges

fervent	characterized by intense emotion

filibuster	a tactic for delaying or obstructing legislation by making long speeches

flag	become less intense

odious	unequivocally detestable

ominous	threatening or foreshadowing evil or tragic developments

remuneration	the act of paying for goods or services or to recompense for losses

relegate	assign to a lower position

remedial	tending or intended to rectify or improve

renaissance	the revival of learning and culture

renege	to fail to honor a commitment; to go back on a promise

reconnaissance	exploration to gain knowledge or information

improbable	not likely to be true or to occur or to have occurred

incipient	only partly in existence

indefatigable	showing sustained enthusiastic action with unflagging vitality

indignation	a feeling of righteous anger

impassive	having or revealing little emotion or sensibility

impenetrable	impossible to understand

impediment	any structure that makes progress difficult

introspection	the contemplation of your own thoughts and desires and conduct

gratis	without payment

makeshift	something contrived to meet an urgent need or emergency; done or made using whatever is available

nominal	being such in name only

obdurate	showing unfeeling resistance to tender feelings

milk	exploit as much as possible

metamorphose	change in outward structure or looks

multifaceted	having many aspects

incorrigible	incapable of being reformed or improved

incumbent	the official who holds an office; lying or leaning on something else

ethereal	characterized by lightness and insubstantiality

evanescent	vanishing, soon passing away; light and airy

exemplar	something to be imitated

flip	marked by casual disrespect

flout	treat with contemptuous disregard

forbearance	a delay in enforcing rights or claims or privileges

forestall	keep from happening or arising

forswear	formally reject or disavow a formerly held belief, usually under pressure

founder	stumble and nearly fall, fail utterly

genial	diffusing warmth and friendliness

idolatrous	blindly or excessively devoted or adoring

impetuous	characterized by undue haste and lack of thought or deliberation

impunity	exemption from punishment or loss

indolent	disinclined to work or exertion

inerrancy	making no mistakes or errors

itinerant	traveling from place to place to work

itinerate	travel from place to place, as for work

judicious	marked by the exercise of good judgment or common sense in practical matters

lament	regret strongly

latent	potentially existing but not presently evident or realized

magnate	a very wealthy or powerful businessman

misappropriate	to misuse

oblique	indirect in departing from the accepted or proper way

ornery	having a difficult and contrary disposition

ostentatious	of a display that is tawdry or vulgar

patent	clearly apparent or obvious to the mind or senses

pine	have a desire for something or someone who is not present

pious	devoutly religious

poignant	deeply affecting, touching; keen or sharp in taste or smell

prime	first in rank, excellence, quality, importance, or time

proclivity	a natural inclination

proliferate	cause to grow or increase rapidly

quintessential	representing the perfect example of a class or quality

remonstrate	argue in protest or opposition

reproach	a mild rebuke or criticism

demure	affectedly modest or shy especially in a playful or provocative way

pompous	overly self-important in speech and manner; excessively stately or ceremonious

decimate	kill in large numbers

cavalier	carefree, happy; with lordly disdain

viable	capable of life or normal growth and development

myriad	a large indefinite number

forte	an asset of special worth or utility

weather	face or endure with courage

discreet	marked by prudence or modesty and wise self-restraint

complement	something added to complete or make perfect

flounder	behave awkwardly

penultimate	next to the last

bedlam	a state of extreme confusion and disorder

tantalize	to tease, torment by teasing

whimsical	determined by chance or impulse or whim rather than by necessity or reason

slothful	disinclined to work or exertion

diabolic	extremely evil or cruel

indomitable	impossible to subdue

fancy	have a particular liking or desire for

avid	marked by active interest and enthusiasm

salve	anything that remedies or heals or soothes

buff	polish and make shiny

deride	treat or speak of with contempt

synergy	the working together of two things (muscles or drugs for example) to produce an effect greater than the sum of their individual effects

pursuant	in conformance to or agreement with

dichotomy	a division into two parts

cynical	believing the worst of human nature and motives

irony	incongruity between what might be expected and what actually occurs

distraught	deeply agitated especially from emotion

relish	derive or receive pleasure from

hankering	a yearning for something or to do something

ardent	characterized by intense emotion

amorous	inclined toward or displaying love

belligerent	given to fighting, warlike; combative, aggressive; one at war, one engaged in war

schism	division of a group into opposing factions

staunch	firm and dependable especially in loyalty

contemptuous	feeling hatred; scornful

flush	in the same plane

androgynous	having both male and female characteristics

deign	do something that one considers to be below one's dignity

anarchy	a state of lawlessness and disorder (usually resulting from a failure of government)

miscreant	a person without moral scruples

acquiesce	to agree or express agreement

acrid	harsh in taste or odor; sharp in manner or temper

ardor	feelings of great warmth and intensity
